02-Oct-2018,,,,,,,,,,,
iShares Russell 3000 ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 02, 2018",,,,,,,,,,
Total Net Assets,"$9,012,794,684.18",,,,,,,,,,
Number of Securities (excluding cash and derivatives),"3,025.00",,,,,,,,,,
Shares Outstanding,"52,300,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
WMT,WALMART INC,Equity,0.46,95.15,"431,536.00","41,060,650.40","41,060,650.40",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.45,207.67,"195,850.00","40,672,169.50","40,672,169.50",Health Care,2023607,US0311621009,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.45,99.02,"409,269.00","40,525,816.38","40,525,816.38",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ADBE,ADOBE SYSTEM INC,Equity,0.45,272.00,"148,687.00","40,442,864.00","40,442,864.00",Information Technology,2008154,US00724F1012,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.44,83.52,"469,844.00","39,241,370.88","39,241,370.88",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.43,165.18,"234,899.00","38,800,616.82","38,800,616.82",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.42,73.81,"517,493.00","38,196,158.33","38,196,158.33",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.42,166.03,"226,075.00","37,535,232.25","37,535,232.25",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
MMM,3M,Equity,0.41,215.71,"172,379.00","37,183,874.09","37,183,874.09",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.41,163.15,"223,759.00","36,506,280.85","36,506,280.85",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.39,61.29,"572,683.00","35,099,741.07","35,099,741.07",Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.37,173.15,"194,472.00","33,672,826.80","33,672,826.80",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.37,157.26,"213,395.00","33,558,497.70","33,558,497.70",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.36,73.35,"448,426.00","32,892,047.10","32,892,047.10",Information Technology,2714923,US7475251036,NASDAQ
AVGO,BROADCOM INC,Equity,0.36,248.10,"130,399.00","32,351,991.90","32,351,991.90",Information Technology,BDZ78H9,US11135F1012,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.36,108.46,"296,288.00","32,135,396.48","32,135,396.48",Information Technology,2885409,US8825081040,NASDAQ
GE,GENERAL ELECTRIC,Equity,0.36,12.32,"2,607,278.00","32,121,664.96","32,121,664.96",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.36,141.45,"226,502.00","32,038,707.90","32,038,707.90",Industrials,2915500,US9130171096,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.35,82.77,"379,491.00","31,410,470.07","31,410,470.07",Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.35,236.35,"132,146.00","31,232,707.10","31,232,707.10",Consumer Staples,2701271,US22160K1051,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.35,86.68,"359,306.00","31,144,644.08","31,144,644.08",Information Technology,BYW36M8,US70450Y1038,NASDAQ
LLY,ELI LILLY,Equity,0.35,107.96,"288,325.00","31,127,567.00","31,127,567.00",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.34,62.80,"494,661.00","31,064,710.80","31,064,710.80",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.34,78.67,"391,476.00","30,797,416.92","30,797,416.92",Health Care,2369174,US3755581036,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.33,247.75,"121,268.00","30,044,147.00","30,044,147.00",Health Care,2886907,US8835561023,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.31,"1,976.59","14,336.00","28,336,394.24","28,336,394.24",Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ
LOW,LOWES COMPANIES INC,Equity,0.31,112.59,"246,925.00","27,801,285.75","27,801,285.75",Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.31,78.28,"354,129.00","27,721,218.12","27,721,218.12",Energy,2685717,US20825C1045,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.30,154.82,"175,567.00","27,181,282.94","27,181,282.94",Industrials,2180201,US1491231015,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.29,349.07,"75,025.00","26,188,976.75","26,188,976.75",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.29,61.89,"419,227.00","25,945,959.03","25,945,959.03",Energy,2779201,AN8068571086,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.27,52.74,"465,007.00","24,524,469.18","24,524,469.18",Financials,2736035,US9029733048,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.27,116.99,"208,864.00","24,434,999.36","24,434,999.36",Industrials,2517382,US9113121068,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.27,79.24,"307,368.00","24,355,840.32","24,355,840.32",Health Care,2577609,US1266501006,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.27,226.07,"107,036.00","24,197,628.52","24,197,628.52",Financials,2407966,US38141G1040,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.27,169.34,"142,426.00","24,118,418.84","24,118,418.84",Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.26,108.39,"214,361.00","23,234,588.79","23,234,588.79",Financials,2026082,US0258161092,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.25,130.00,"174,820.00","22,726,600.00","22,726,600.00",Energy,2318024,US26875P1012,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.25,55.59,"397,230.00","22,082,015.70","22,082,015.70",Consumer Discretionary,2842255,US8552441094,NASDAQ
ANTM,ANTHEM INC,Equity,0.24,276.12,"78,686.00","21,726,778.32","21,726,778.32",Health Care,BSPHGL4,US0367521038,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.23,263.90,"80,107.00","21,140,237.30","21,140,237.30",Health Care,2087807,US0758871091,New York Stock Exchange Inc.
BIIB,BIOGEN INC INC,Equity,0.23,345.41,"60,842.00","21,015,435.22","21,015,435.22",Health Care,2455965,US09062X1037,NASDAQ
TJX,TJX INC,Equity,0.23,110.42,"189,637.00","20,939,717.54","20,939,717.54",Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.23,108.96,"187,377.00","20,416,597.92","20,416,597.92",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.22,151.77,"133,208.00","20,216,978.16","20,216,978.16",Information Technology,2065308,US0530151036,NASDAQ
AGN,ALLERGAN,Equity,0.22,193.42,"102,454.00","19,816,652.68","19,816,652.68",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
AET,AETNA INC,Equity,0.22,203.15,"96,710.00","19,646,636.50","19,646,636.50",Health Care,2695921,US00817Y1082,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.22,91.86,"212,080.00","19,481,668.80","19,481,668.80",Health Care,2182348,US1510201049,NASDAQ
ISRG,INTUITIVE SURGICAL INC,Equity,0.22,571.48,"33,974.00","19,415,461.52","19,415,461.52",Health Care,2871301,US46120E6023,NASDAQ
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.21,82.87,"231,610.00","19,193,520.70","19,193,520.70",Energy,2655408,US6745991058,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.21,136.26,"140,293.00","19,116,324.18","19,116,324.18",Financials,2692665,US6934751057,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.21,144.13,"132,584.00","19,109,331.92","19,109,331.92",Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
ATVI,ACTIVISION BLIZZARD INC,Equity,0.21,83.39,"227,646.00","18,983,399.94","18,983,399.94",Communication,2575818,US00507V1098,NASDAQ
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.21,43.23,"437,998.00","18,934,653.54","18,934,653.54",Consumer Staples,B8CKK03,US6092071058,NASDAQ
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.21,73.49,"255,814.00","18,799,770.86","18,799,770.86",Consumer Staples,BTN1Y44,US9314271084,NASDAQ
CB,CHUBB LTD,Equity,0.21,133.57,"140,118.00","18,715,561.26","18,715,561.26",Financials,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.20,74.33,"246,891.00","18,351,408.03","18,351,408.03",Industrials,2160753,US1264081035,NASDAQ
SYK,STRYKER CORP,Equity,0.20,177.38,"103,215.00","18,308,276.70","18,308,276.70",Health Care,2853688,US8636671013,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.20,49.85,"363,261.00","18,108,560.85","18,108,560.85",Financials,2779397,US8085131055,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.20,208.04,"86,823.00","18,062,656.92","18,062,656.92",Industrials,2758051,US7551115071,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.20,174.50,"102,653.00","17,912,948.50","17,912,948.50",Financials,2965839,US12572Q1058,NASDAQ
FDX,FEDEX CORP,Equity,0.20,239.00,"74,790.00","17,874,810.00","17,874,810.00",Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.20,477.21,"37,214.00","17,758,892.94","17,758,892.94",Financials,2494504,US09247X1019,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.19,67.39,"257,725.00","17,368,087.75","17,368,087.75",Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.19,46.63,"371,699.00","17,332,324.37","17,332,324.37",Financials,2262314,US6174464486,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.19,80.42,"215,463.00","17,327,534.46","17,327,534.46",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.19,326.89,"52,708.00","17,229,718.12","17,229,718.12",Communication,BZ6VT82,US16119P1084,NASDAQ
INTU,INTUIT INC,Equity,0.19,227.62,"73,884.00","16,817,476.08","16,817,476.08",Information Technology,2459020,US4612021034,NASDAQ
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.18,176.05,"93,151.00","16,399,233.55","16,399,233.55",Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.18,39.04,"417,091.00","16,283,232.64","16,283,232.64",Health Care,2113434,US1011371077,New York Stock Exchange Inc.
ESRX,EXPRESS SCRIPTS HOLDING,Equity,0.18,95.27,"169,771.00","16,174,083.17","16,174,083.17",Health Care,B7QQYV9,US30219G1085,NASDAQ
ILMN,ILLUMINA INC,Equity,0.18,362.14,"44,452.00","16,097,847.28","16,097,847.28",Health Care,2613990,US4523271090,NASDAQ
GD,GENERAL DYNAMICS CORP,Equity,0.18,204.98,"78,450.00","16,080,681.00","16,080,681.00",Industrials,2365161,US3695501086,New York Stock Exchange Inc.
MU,MICRON TECHNOLOGY INC,Equity,0.18,45.76,"349,888.00","16,010,874.88","16,010,874.88",Information Technology,2588184,US5951121038,NASDAQ
NOC,NORTHROP GRUMMAN CORP,Equity,0.17,318.77,"48,911.00","15,591,359.47","15,591,359.47",Industrials,2648806,US6668071029,New York Stock Exchange Inc.
NSC,NORFOLK SOUTHERN CORP,Equity,0.17,181.33,"85,465.00","15,497,368.45","15,497,368.45",Industrials,2641894,US6558441084,New York Stock Exchange Inc.
DE,DEERE,Equity,0.17,154.82,"97,989.00","15,170,656.98","15,170,656.98",Industrials,2261203,US2441991054,New York Stock Exchange Inc.
VLO,VALERO ENERGY CORP,Equity,0.17,115.52,"130,155.00","15,035,505.60","15,035,505.60",Energy,2041364,US91913Y1001,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.17,210.59,"71,239.00","15,002,221.01","15,002,221.01",Health Care,2196479,US1255091092,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,0.17,196.70,"75,874.00","14,924,415.80","14,924,415.80",Financials,BYV2325,US78409V1044,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.16,191.93,"77,086.00","14,795,115.98","14,795,115.98",Health Care,2931034,US92532F1003,NASDAQ
EMR,EMERSON ELECTRIC,Equity,0.16,77.86,"189,739.00","14,773,078.54","14,773,078.54",Industrials,2313405,US2910111044,New York Stock Exchange Inc.
PX,PRAXAIR INC,Equity,0.16,169.03,"86,763.00","14,665,549.89","14,665,549.89",Materials,2699291,US74005P1049,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.16,46.55,"314,936.00","14,660,270.80","14,660,270.80",Communication,BBM4S68,US90130A1016,NASDAQ
ITW,ILLINOIS TOOL INC,Equity,0.16,144.71,"100,853.00","14,594,437.63","14,594,437.63",Industrials,2457552,US4523081093,New York Stock Exchange Inc.
PSX,PHILLIPS,Equity,0.16,114.69,"126,970.00","14,562,189.30","14,562,189.30",Energy,B78C4Y8,US7185461040,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.16,51.75,"279,677.00","14,473,284.75","14,473,284.75",Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.16,53.12,"268,475.00","14,261,392.00","14,261,392.00",Financials,2027342,US0268747849,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.16,86.62,"162,159.00","14,046,212.58","14,046,212.58",Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,0.16,336.39,"41,678.00","14,020,062.42","14,020,062.42",Health Care,2445063,US4448591028,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.15,70.88,"196,970.00","13,961,233.60","13,961,233.60",Utilities,2542049,US25746U1097,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.15,95.53,"143,796.00","13,736,831.88","13,736,831.88",Financials,2654461,US14040H1059,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.15,77.28,"176,652.00","13,651,666.56","13,651,666.56",Information Technology,2257019,US1924461023,NASDAQ
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.15,109.08,"125,133.00","13,649,507.64","13,649,507.64",Real Estate,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Equity,0.15,91.83,"146,442.00","13,447,768.86","13,447,768.86",Health Care,B95WG16,US98978V1035,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.15,43.43,"306,061.00","13,292,229.23","13,292,229.23",Utilities,2829601,US8425871071,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Equity,0.15,33.30,"396,881.00","13,216,137.30","13,216,137.30",Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.14,74.86,"172,467.00","12,910,879.62","12,910,879.62",Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
PRU,PRUDENTIAL FINANCIAL INC,Equity,0.14,101.47,"126,947.00","12,881,312.09","12,881,312.09",Financials,2819118,US7443201022,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.14,44.01,"291,803.00","12,842,250.03","12,842,250.03",Utilities,2670519,US30161N1019,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.14,83.51,"153,333.00","12,804,838.83","12,804,838.83",Financials,2567741,US5717481023,New York Stock Exchange Inc.
HPQ,HP INC,Equity,0.14,26.08,"489,411.00","12,763,838.88","12,763,838.88",Information Technology,BYX4D52,US40434L1052,New York Stock Exchange Inc.
PLD,PROLOGIS REIT INC,Equity,0.14,66.42,"189,502.00","12,586,722.84","12,586,722.84",Real Estate,B44WZD7,US74340W1036,New York Stock Exchange Inc.
PGR,PROGRESSIVE CORP,Equity,0.14,70.96,"175,825.00","12,476,542.00","12,476,542.00",Financials,2705024,US7433151039,New York Stock Exchange Inc.
TSLA,TESLA INC,Equity,0.14,301.02,"40,960.00","12,329,779.20","12,329,779.20",Consumer Discretionary,B616C79,US88160R1014,NASDAQ
ECL,ECOLAB INC,Equity,0.13,157.22,"76,952.00","12,098,393.44","12,098,393.44",Materials,2304227,US2788651006,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.13,114.61,"105,250.00","12,062,702.50","12,062,702.50",Consumer Staples,2491839,US4943681035,New York Stock Exchange Inc.
AMAT,APPLIED MATERIAL INC,Equity,0.13,38.90,"305,897.00","11,899,393.30","11,899,393.30",Information Technology,2046552,US0382221051,NASDAQ
MET,METLIFE INC,Equity,0.13,46.36,"256,555.00","11,893,889.80","11,893,889.80",Financials,2573209,US59156R1086,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,0.13,89.93,"130,273.00","11,715,450.89","11,715,450.89",Industrials,2937667,US94106L1098,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,0.13,77.30,"151,076.00","11,678,174.80","11,678,174.80",Health Care,2085102,US0718131099,New York Stock Exchange Inc.
ETN,EATON PLC,Equity,0.13,87.85,"132,121.00","11,606,829.85","11,606,829.85",Industrials,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,0.13,137.93,"83,739.00","11,550,120.27","11,550,120.27",Health Care,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,0.13,156.25,"73,774.00","11,527,187.50","11,527,187.50",Financials,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Equity,0.13,454.00,"25,180.00","11,431,720.00","11,431,720.00",Materials,2804211,US8243481061,New York Stock Exchange Inc.
BBT,BB AND T CORP,Equity,0.13,48.27,"235,442.00","11,364,785.34","11,364,785.34",Financials,2830904,US0549371070,New York Stock Exchange Inc.
MPC,MARATHON PETROLEUM CORP,Equity,0.13,83.28,"135,686.00","11,299,930.08","11,299,930.08",Energy,B3K3L40,US56585A1025,New York Stock Exchange Inc.
